id,flight_type,city,status,gate,claim,scheduled_time,actual_time,flight_codes,route_airport_code
710255,arrival,San Jose,Arrived,17,5,2026-03-20 07:55:00,2026-03-20 07:35:00,WN4455,SJC
710258,arrival,Sacramento,Arrived,20,5,2026-03-20 08:00:00,2026-03-20 07:51:00,WN4115,SMF
-1,arrival,Provo,Arrived,4,2,2026-03-20 08:05:00,2026-03-20 08:01:00,MX602,PVU
710259,arrival,Oakland,Arrived,18,5,2026-03-20 08:10:00,2026-03-20 07:59:00,WN4097,OAK
710260,arrival,Las Vegas,Arrived,19,5,2026-03-20 08:15:00,2026-03-20 08:10:00,WN3280,LAS
710263,arrival,Phoenix,Cancelled,22B,N/A,2026-03-20 08:25:00,2026-03-20 08:16:00,WN2566,PHX
-1,arrival,Dallas-Ft. Worth,Arrived,7,1,2026-03-20 08:33:00,2026-03-20 08:13:00,AA1686,DFW
-1,arrival,San Francisco,Arrived,12,3,2026-03-20 08:35:00,2026-03-20 08:16:00,AS3440,SFO
-1,arrival,Phoenix,Arrived,15,6,2026-03-20 08:50:00,2026-03-20 08:29:00,F91719,PHX
-1,arrival,Des Moines,Arrived,C16,6,2026-03-20 08:55:00,2026-03-20 08:40:00,G4457,DSM
-1,arrival,Phoenix,Arrived,6,1,2026-03-20 08:58:00,2026-03-20 08:36:00,AA543,PHX
-1,arrival,San Francisco,Arrived,10,4,2026-03-20 09:03:00,2026-03-20 08:52:00,"UA5937, AC4246",SFO
-1,arrival,Salt Lake City,Arrived,4,2,2026-03-20 09:09:00,2026-03-20 08:48:00,DL1198,SLC
-1,arrival,Boise,Arrived,11,3,2026-03-20 09:11:00,2026-03-20 08:57:00,AS486,BOI
710281,arrival,Oakland,Arrived,21,5,2026-03-20 09:25:00,2026-03-20 09:24:00,WN1199,OAK
710285,arrival,San Jose,Arrived,20,5,2026-03-20 09:35:00,2026-03-20 09:15:00,WN1933,SJC
710286,arrival,Phoenix,Arrived,17,5,2026-03-20 09:35:00,2026-03-20 09:16:00,WN643,PHX
-1,arrival,Portland,Arrived,13,3,2026-03-20 09:38:00,2026-03-20 09:32:00,AS1404,PDX
-1,arrival,Denver,Arrived,9,4,2026-03-20 09:48:00,2026-03-20 09:21:00,"UA2666, AC5491",DEN
710289,arrival,Las Vegas,Arrived,18,5,2026-03-20 09:50:00,2026-03-20 09:40:00,WN458,LAS
-1,arrival,Everett,Arrived,12,3,2026-03-20 09:50:00,2026-03-20 09:42:00,AS2270,PAE
-1,arrival,Las Vegas,Arrived,15,6,2026-03-20 09:53:00,2026-03-20 09:54:00,NK1622,LAS
710290,arrival,Denver,Arrived,19,5,2026-03-20 10:00:00,2026-03-20 09:50:00,WN3846,DEN
-1,arrival,Dallas-Ft. Worth,Arrived,5,1,2026-03-20 10:05:00,2026-03-20 09:38:00,AA3197,DFW
-1,arrival,Newark,Arrived,8,4,2026-03-20 10:09:00,2026-03-20 09:17:00,"UA785, AC3741",EWR
710296,arrival,Sacramento,Arrived,21,5,2026-03-20 10:10:00,2026-03-20 10:05:00,WN574,SMF
-1,arrival,Seattle-Tacoma,Arrived,3,2,2026-03-20 10:14:00,2026-03-20 09:58:00,DL2101,SEA
-1,arrival,Seattle-Tacoma,Arrived,11,3,2026-03-20 10:19:00,2026-03-20 10:06:00,AS699,SEA
-1,arrival,Chicago/O'Hare,Arrived,7,1,2026-03-20 10:46:00,2026-03-20 10:47:00,AA2285,ORD
-1,arrival,Detroit,Arrived,3,2,2026-03-20 10:46:00,2026-03-20 11:27:00,DL1857,DTW
-1,arrival,Denver,Arrived,16,6,2026-03-20 10:47:00,2026-03-20 10:16:00,F94371,DEN
-1,arrival,San Francisco,Arrived,12,3,2026-03-20 10:55:00,2026-03-20 10:41:00,AS3450,SFO
710307,arrival,Las Vegas,Arrived,19,5,2026-03-20 11:05:00,2026-03-20 11:03:00,WN1479,LAS
-1,arrival,Las Vegas,Arrived,2,2,2026-03-20 11:16:00,2026-03-20 11:14:00,DL4078,LAS
-1,arrival,Seattle-Tacoma,Arrived,11,3,2026-03-20 11:19:00,2026-03-20 11:18:00,AS759,SEA
710311,arrival,San Jose,Arrived,17,6,2026-03-20 11:20:00,2026-03-20 11:11:00,WN1866,SJC
-1,arrival,Atlanta,Arrived,4,2,2026-03-20 11:24:00,2026-03-20 11:11:00,DL329,ATL
-1,arrival,Vancouver,Arrived,14,6,2026-03-20 11:25:00,2026-03-20 12:31:00,AC598,YVR
710312,arrival,Oakland,Arrived,21,5,2026-03-20 11:25:00,2026-03-20 11:15:00,WN1984,OAK
710313,arrival,Phoenix,Arrived,20,5,2026-03-20 11:25:00,2026-03-20 11:09:00,WN3496,PHX
-1,arrival,Houston,Arrived,10,4,2026-03-20 11:27:00,2026-03-20 10:43:00,UA1383,IAH
-1,arrival,Phoenix,Arrived,5,1,2026-03-20 11:36:00,2026-03-20 11:27:00,AA456,PHX
710319,arrival,Denver,Arrived,18,5,2026-03-20 11:45:00,2026-03-20 11:17:00,WN1697,DEN
-1,arrival,Chicago/O'Hare,Arrived,9,4,2026-03-20 11:51:00,2026-03-20 12:23:00,"UA1304, AC5451",ORD
-1,arrival,New York/JFK,Arrived,6,1,2026-03-20 11:52:00,2026-03-20 11:09:00,AA3085,JFK
