id,flight_type,city,status,gate,claim,scheduled_time,actual_time,flight_codes,route_airport_code,delay_min,primary_flight_code,airline_code,flight_number,airline,status_clean,flight_date,hour,day_of_week,month,is_cancelled,is_delayed,is_ontime,is_early,otp_15_flag
708656.0,arrival,San Jose,Arrived,19,5.0,2026-03-14 08:25:00,2026-03-14 08:12:00,WN4455,SJC,-13.0,WN4455,WN,4455,Southwest,On Time,08:25:00,8,scheduled_time,3,0,0,1,0,1.0
708657.0,arrival,Oakland,Arrived,18,5.0,2026-03-14 08:30:00,2026-03-14 08:14:00,WN726,OAK,-16.0,WN726,WN,726,Southwest,Early,08:30:00,8,scheduled_time,3,0,0,0,1,1.0
,arrival,Dallas-Ft. Worth,Arrived,7,1.0,2026-03-14 08:33:00,2026-03-14 08:06:00,AA1686,DFW,-27.0,AA1686,AA,1686,American,Early,08:33:00,8,scheduled_time,3,0,0,0,1,1.0
,arrival,San Francisco,Arrived,9,4.0,2026-03-14 08:43:00,2026-03-14 08:22:00,"UA5937, AC4246",SFO,-21.0,UA5937,UA,5937,United,Early,08:43:00,8,scheduled_time,3,0,0,0,1,1.0
,arrival,Phoenix,Arrived,15,6.0,2026-03-14 08:55:00,2026-03-14 08:55:00,F91719,PHX,0.0,F91719,F,91719,Other,On Time,08:55:00,8,scheduled_time,3,0,0,1,0,1.0
,arrival,Phoenix,Arrived,5,1.0,2026-03-14 08:58:00,2026-03-14 08:42:00,AA543,PHX,-16.0,AA543,AA,543,American,Early,08:58:00,8,scheduled_time,3,0,0,0,1,1.0
,arrival,Salt Lake City,Arrived,4,2.0,2026-03-14 09:00:00,2026-03-14 08:54:00,DL1198,SLC,-6.0,DL1198,DL,1198,Delta,On Time,09:00:00,9,scheduled_time,3,0,0,1,0,1.0
708666.0,arrival,Sacramento,Arrived,17,5.0,2026-03-14 09:10:00,2026-03-14 09:28:00,WN574,SMF,18.0,WN574,WN,574,Southwest,Delayed,09:10:00,9,scheduled_time,3,0,1,0,0,0.0
,arrival,San Francisco,Arrived,12,3.0,2026-03-14 09:29:00,2026-03-14 09:11:00,AS3440,SFO,-18.0,AS3440,AS,3440,Alaska,Early,09:29:00,9,scheduled_time,3,0,0,0,1,1.0
708670.0,arrival,Phoenix,Arrived,20,5.0,2026-03-14 09:30:00,2026-03-14 09:18:00,WN643,PHX,-12.0,WN643,WN,643,Southwest,On Time,09:30:00,9,scheduled_time,3,0,0,1,0,1.0
,arrival,Boise,Arrived,11,3.0,2026-03-14 09:43:00,2026-03-14 09:41:00,AS335,BOI,-2.0,AS335,AS,335,Alaska,On Time,09:43:00,9,scheduled_time,3,0,0,1,0,1.0
,arrival,Denver,Arrived,8,4.0,2026-03-14 09:48:00,2026-03-14 09:29:00,"UA2666, AC5491",DEN,-19.0,UA2666,UA,2666,United,Early,09:48:00,9,scheduled_time,3,0,0,0,1,1.0
,arrival,Las Vegas,Arrived,15,6.0,2026-03-14 09:53:00,2026-03-14 09:50:00,NK1622,LAS,-3.0,NK1622,NK,1622,Spirit,On Time,09:53:00,9,scheduled_time,3,0,0,1,0,1.0
,arrival,Provo,Arrived,16,6.0,2026-03-14 09:59:00,2026-03-14 09:48:00,G41589,PVU,-11.0,G41589,G,41589,Other,On Time,09:59:00,9,scheduled_time,3,0,0,1,0,1.0
,arrival,Provo,Arrived,2,2.0,2026-03-14 10:00:00,2026-03-14 09:39:00,MX602,PVU,-21.0,MX602,MX,602,Breeze,Early,10:00:00,10,scheduled_time,3,0,0,0,1,1.0
708671.0,arrival,Denver,Arrived,19,5.0,2026-03-14 10:00:00,2026-03-14 09:53:00,WN204,DEN,-7.0,WN204,WN,204,Southwest,On Time,10:00:00,10,scheduled_time,3,0,0,1,0,1.0
,arrival,Dallas-Ft. Worth,Arrived,6,1.0,2026-03-14 10:05:00,2026-03-14 10:14:00,AA3197,DFW,9.0,AA3197,AA,3197,American,On Time,10:05:00,10,scheduled_time,3,0,0,1,0,1.0
,arrival,Newark,Arrived,9,3.0,2026-03-14 10:09:00,2026-03-14 10:02:00,"UA785, AC3741",EWR,-7.0,UA785,UA,785,United,On Time,10:09:00,10,scheduled_time,3,0,0,1,0,1.0
,arrival,Seattle-Tacoma,Cancelled,4,2.0,2026-03-14 10:13:00,2026-03-14 10:09:00,DL2101,SEA,,DL2101,DL,2101,Delta,Cancelled,10:13:00,10,scheduled_time,3,1,0,0,0,
,arrival,Portland,Arrived,13,3.0,2026-03-14 10:14:00,2026-03-14 09:54:00,AS1404,PDX,-20.0,AS1404,AS,1404,Alaska,Early,10:14:00,10,scheduled_time,3,0,0,0,1,1.0
708680.0,arrival,Las Vegas,Arrived,21,6.0,2026-03-14 10:30:00,2026-03-14 13:35:00,WN3280,LAS,185.0,WN3280,WN,3280,Southwest,Delayed,10:30:00,10,scheduled_time,3,0,1,0,0,0.0
,arrival,Chicago/O'Hare,Arrived,7,1.0,2026-03-14 10:46:00,2026-03-14 11:05:00,AA2285,ORD,19.0,AA2285,AA,2285,American,Delayed,10:46:00,10,scheduled_time,3,0,1,0,0,0.0
,arrival,Denver,Arrived,15,6.0,2026-03-14 10:47:00,2026-03-14 10:44:00,F94371,DEN,-3.0,F94371,F,94371,Other,On Time,10:47:00,10,scheduled_time,3,0,0,1,0,1.0
,arrival,San Francisco,Arrived,11,3.0,2026-03-14 11:11:00,2026-03-14 10:53:00,AS3450,SFO,-18.0,AS3450,AS,3450,Alaska,Early,11:11:00,11,scheduled_time,3,0,0,0,1,1.0
,arrival,Las Vegas,Arrived,4,2.0,2026-03-14 11:16:00,2026-03-14 11:04:00,DL4078,LAS,-12.0,DL4078,DL,4078,Delta,On Time,11:16:00,11,scheduled_time,3,0,0,1,0,1.0
,arrival,Atlanta,Arrived,3,2.0,2026-03-14 11:24:00,2026-03-14 11:19:00,DL329,ATL,-5.0,DL329,DL,329,Delta,On Time,11:24:00,11,scheduled_time,3,0,0,1,0,1.0
,arrival,Vancouver,Arrived,14,6.0,2026-03-14 11:25:00,2026-03-14 11:24:00,AC598,YVR,-1.0,AC598,AC,598,Air Canada,On Time,11:25:00,11,scheduled_time,3,0,0,1,0,1.0
708691.0,arrival,San Jose,Arrived,18,5.0,2026-03-14 11:25:00,2026-03-14 11:22:00,WN3810,SJC,-3.0,WN3810,WN,3810,Southwest,On Time,11:25:00,11,scheduled_time,3,0,0,1,0,1.0
,arrival,Houston,Arrived,10,4.0,2026-03-14 11:27:00,2026-03-14 10:49:00,UA1383,IAH,-38.0,UA1383,UA,1383,United,Early,11:27:00,11,scheduled_time,3,0,0,0,1,1.0
,arrival,Phoenix,Arrived,5,1.0,2026-03-14 11:36:00,2026-03-14 11:22:00,AA456,PHX,-14.0,AA456,AA,456,American,On Time,11:36:00,11,scheduled_time,3,0,0,1,0,1.0
,arrival,Santa Rosa,Arrived,12,3.0,2026-03-14 11:37:00,2026-03-14 11:27:00,AS3395,STS,-10.0,AS3395,AS,3395,Alaska,On Time,11:37:00,11,scheduled_time,3,0,0,1,0,1.0
,arrival,Chicago/O'Hare,Arrived,8,4.0,2026-03-14 11:51:00,2026-03-14 13:02:00,"UA1304, AC5451",ORD,71.0,UA1304,UA,1304,United,Delayed,11:51:00,11,scheduled_time,3,0,1,0,0,0.0
,arrival,Everett,Arrived,13,3.0,2026-03-14 11:52:00,2026-03-14 12:26:00,AS2270,PAE,34.0,AS2270,AS,2270,Alaska,Delayed,11:52:00,11,scheduled_time,3,0,1,0,0,0.0
,arrival,New York/JFK,Arrived,6,1.0,2026-03-14 11:52:00,2026-03-14 11:53:00,AA3085,JFK,1.0,AA3085,AA,3085,American,On Time,11:52:00,11,scheduled_time,3,0,0,1,0,1.0
,arrival,Dallas-Ft. Worth,Arrived,7,1.0,2026-03-14 11:57:00,2026-03-14 12:15:00,AA2264,DFW,18.0,AA2264,AA,2264,American,Delayed,11:57:00,11,scheduled_time,3,0,1,0,0,0.0
708699.0,arrival,Oakland,Arrived,17,5.0,2026-03-14 12:05:00,2026-03-14 11:56:00,WN1984,OAK,-9.0,WN1984,WN,1984,Southwest,On Time,12:05:00,12,scheduled_time,3,0,0,1,0,1.0
,arrival,Seattle-Tacoma,Arrived,11,3.0,2026-03-14 12:08:00,2026-03-14 12:14:00,AS759,SEA,6.0,AS759,AS,759,Alaska,On Time,12:08:00,12,scheduled_time,3,0,0,1,0,1.0
,arrival,Salt Lake City,Arrived,4,2.0,2026-03-14 12:20:00,2026-03-14 12:23:00,DL1189,SLC,3.0,DL1189,DL,1189,Delta,On Time,12:20:00,12,scheduled_time,3,0,0,1,0,1.0
,arrival,San Francisco,Arrived,9,4.0,2026-03-14 12:22:00,2026-03-14 12:23:00,"UA643, AC3054",SFO,1.0,UA643,UA,643,United,On Time,12:22:00,12,scheduled_time,3,0,0,1,0,1.0
