id,flight_type,city,status,gate,claim,scheduled_time,actual_time,flight_codes,route_airport_code,delay_min,primary_flight_code,airline_code,flight_number,airline,status_clean,flight_date,hour,day_of_week,month,is_cancelled,is_delayed,is_ontime,is_early,otp_15_flag
710255.0,arrival,San Jose,Arrived,17,5.0,2026-03-20 07:55:00,2026-03-20 07:35:00,WN4455,SJC,-20.0,WN4455,WN,4455,Southwest,Early,2026-03-20,7,Friday,3,0,0,0,1,1.0
710258.0,arrival,Sacramento,Arrived,20,5.0,2026-03-20 08:00:00,2026-03-20 07:51:00,WN4115,SMF,-9.0,WN4115,WN,4115,Southwest,On Time,2026-03-20,8,Friday,3,0,0,1,0,1.0
,arrival,Provo,Arrived,4,2.0,2026-03-20 08:05:00,2026-03-20 08:01:00,MX602,PVU,-4.0,MX602,MX,602,Breeze,On Time,2026-03-20,8,Friday,3,0,0,1,0,1.0
710259.0,arrival,Oakland,Arrived,18,5.0,2026-03-20 08:10:00,2026-03-20 07:59:00,WN4097,OAK,-11.0,WN4097,WN,4097,Southwest,On Time,2026-03-20,8,Friday,3,0,0,1,0,1.0
710260.0,arrival,Las Vegas,Arrived,19,5.0,2026-03-20 08:15:00,2026-03-20 08:10:00,WN3280,LAS,-5.0,WN3280,WN,3280,Southwest,On Time,2026-03-20,8,Friday,3,0,0,1,0,1.0
710263.0,arrival,Phoenix,Cancelled,22B,,2026-03-20 08:25:00,2026-03-20 08:16:00,WN2566,PHX,-9.0,WN2566,WN,2566,Southwest,Cancelled,2026-03-20,8,Friday,3,1,0,0,0,
,arrival,Dallas-Ft. Worth,Arrived,7,1.0,2026-03-20 08:33:00,2026-03-20 08:13:00,AA1686,DFW,-20.0,AA1686,AA,1686,American,Early,2026-03-20,8,Friday,3,0,0,0,1,1.0
,arrival,San Francisco,Arrived,12,3.0,2026-03-20 08:35:00,2026-03-20 08:16:00,AS3440,SFO,-19.0,AS3440,AS,3440,Alaska,Early,2026-03-20,8,Friday,3,0,0,0,1,1.0
,arrival,Phoenix,Arrived,15,6.0,2026-03-20 08:50:00,2026-03-20 08:29:00,F91719,PHX,-21.0,F91719,F,91719,Other,Early,2026-03-20,8,Friday,3,0,0,0,1,1.0
,arrival,Des Moines,Arrived,C16,6.0,2026-03-20 08:55:00,2026-03-20 08:40:00,G4457,DSM,-15.0,G4457,G,4457,Other,Early,2026-03-20,8,Friday,3,0,0,0,1,1.0
,arrival,Phoenix,Arrived,6,1.0,2026-03-20 08:58:00,2026-03-20 08:36:00,AA543,PHX,-22.0,AA543,AA,543,American,Early,2026-03-20,8,Friday,3,0,0,0,1,1.0
,arrival,San Francisco,Arrived,10,4.0,2026-03-20 09:03:00,2026-03-20 08:52:00,"UA5937, AC4246",SFO,-11.0,UA5937,UA,5937,United,On Time,2026-03-20,9,Friday,3,0,0,1,0,1.0
,arrival,Salt Lake City,Arrived,4,2.0,2026-03-20 09:09:00,2026-03-20 08:48:00,DL1198,SLC,-21.0,DL1198,DL,1198,Delta,Early,2026-03-20,9,Friday,3,0,0,0,1,1.0
,arrival,Boise,Arrived,11,3.0,2026-03-20 09:11:00,2026-03-20 08:57:00,AS486,BOI,-14.0,AS486,AS,486,Alaska,On Time,2026-03-20,9,Friday,3,0,0,1,0,1.0
